invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-060978,Green Meadows Landscape,2025-05-11,193.87,0.0,N/A,GoFleet Corporation
INV-060977,Now or Never Trucking LLC,2025-05-11,23.7,0.0,N/A,GoFleet Corporation
INV-060976,TZR Contracting,2025-05-11,461.6,0.0,N/A,GoFleet Corporation
INV-060974,CS Trucking LLC,2025-05-11,183.65,0.0,N/A,GoFleet Corporation
INV-060973,Lord Baltimore Uniform,2025-05-11,504.9,0.0,N/A,GoFleet Corporation
INV-060972,Francescoslimo & Coach Service,2025-05-11,0.0,0.0,N/A,GoFleet Corporation
INV-060971,Lewis Motor Sales Inc.,2025-05-11,5234.16,0.0,N/A,GoFleet Corporation
INV-060970,Wagg's Petroleum Equipment Ltd,2025-05-11,1332.87,0.0,N/A,GoFleet Corporation
INV-060969,Newimage Contracting Ltd,2025-05-11,172.2,0.0,N/A,GoFleet Corporation
INV-060967,AISH Transport Inc,2025-05-11,348.51,0.0,N/A,GoFleet Corporation
INV-060966,Mid Island Cabinets,2025-05-11,107.3,0.0,N/A,GoFleet Corporation
INV-060964,Promation,2025-05-11,59.91,0.0,N/A,GoFleet Corporation
INV-060963,Spark Express,2025-04-10,338.1,0.0,N/A,GoFleet Corporation
INV-060960,LC Trucking Services,2025-05-10,50.0,0.0,N/A,GoFleet Corporation
INV-060957,Lachance Enterprises,2025-05-10,55.39,0.0,N/A,GoFleet Corporation
INV-060955,J & K Farms Ltd,2025-05-10,53.08,0.0,N/A,GoFleet Corporation
INV-060954,2232604 Ontario Inc,2025-05-10,53.08,0.0,N/A,GoFleet Corporation
INV-060953,Provo Transportation,2025-05-10,80.0,0.0,N/A,GoFleet Corporation
INV-060952,Polk's Meat Products,2025-05-10,103.0,0.0,N/A,GoFleet Corporation
INV-060949,Map International,2025-05-10,85.88,0.0,N/A,GoFleet Corporation
INV-060948,Cam MacIntosh Roadside Fuel Services,2025-05-10,298.57,0.0,N/A,GoFleet Corporation
INV-060947,Quality Transfer,2025-05-10,129.78,0.0,N/A,GoFleet Corporation
INV-060946,EWASTE+,2025-05-10,362.56,0.0,N/A,GoFleet Corporation
INV-060945,Toram Mechanical,2025-05-10,201.95,0.0,N/A,GoFleet Corporation
