invoice_number,customer_name,due_date,total,balance,status,payment_mode,organization
INV-010393,"H and H Drug Stores, Inc. (T-Mobile Client)",2025-03-03,276.0,0.0,paid,N/A,Zenduit Corporation
INV-010392,Secure Transportation,2025-03-03,160.0,160.0,overdue,N/A,Zenduit Corporation
INV-010391,"California Waste Services, LLC(OLD)",2025-03-03,1595.0,0.0,paid,N/A,Zenduit Corporation
INV-010390,Pun Enterprises Incorporated,2025-03-03,36.0,0.0,paid,N/A,Zenduit Corporation
INV-010389,College Hunks Hauling Junk and Moving of Grand Rapids,2025-03-03,260.0,0.0,paid,N/A,Zenduit Corporation
INV-010388,Finger Lakes TC,2025-03-03,125.0,0.0,paid,N/A,Zenduit Corporation
INV-010387,Carbentec (Formerly Titan Innovations),2025-03-03,606.0,0.0,paid,N/A,Zenduit Corporation
INV-010386,Aalto Technologies,2025-03-03,142.3,0.0,paid,N/A,Zenduit Corporation
INV-010385,KELLY TOURS,2025-03-03,420.0,0.0,paid,N/A,Zenduit Corporation
INV-010384,GPS to GO Ltd.,2025-03-02,430.25,0.0,paid,N/A,Zenduit Corporation
INV-010383,GPS to GO Ltd.,2025-03-02,1015.31,0.0,paid,N/A,Zenduit Corporation
INV-010382,Metrica Movil,2025-03-02,975.08,975.08,overdue,N/A,Zenduit Corporation
INV-010381,Traxxis GPS Solutions,2025-03-01,70.0,0.0,paid,N/A,Zenduit Corporation
INV-010380,Traxxis GPS Solutions,2025-03-01,35.0,0.0,paid,N/A,Zenduit Corporation
INV-010379,GA Department of Driver Services,2025-03-01,800.0,0.0,paid,N/A,Zenduit Corporation
INV-010378,"TrackCam, LLC",2025-03-01,261.25,0.0,paid,N/A,Zenduit Corporation
INV-010377,Reseller Sub Account (Specialty Sales LLC),2025-03-01,45.2,45.2,overdue,N/A,Zenduit Corporation
INV-010376,Efficient Fleets,2025-01-30,810.0,0.0,paid,N/A,Zenduit Corporation
INV-010375,Incident Clear - Florida,2025-03-01,1840.0,0.0,paid,N/A,Zenduit Corporation
